kind,app,route,width,viewportHeight,status,actualPath,expectedRedirect,source,executedStates,findings,runtimeFinding,documentScrollWidth,documentOverflow,smallControlCandidateCount,consoleErrorCount,missingRequestCount,blockedRequestCount,portableScreenshots
"terminal","customer","/","400","844","measured","/","","src/Cleansia.App/libs/cleansia-customer-features/home/src/lib/lib.routes.ts:5","initial","","","400","false","2","0","0","0",""
"terminal","customer","/","768","1024","measured","/","","src/Cleansia.App/libs/cleansia-customer-features/home/src/lib/lib.routes.ts:5","initial","","","768","false","2","0","0","0",""
"terminal","customer","/services","400","844","measured","/services","","src/Cleansia.App/libs/cleansia-customer-features/services-catalog/src/lib/lib.routes.ts:5","initial","","","400","false","4","0","0","0",""
"terminal","customer","/services","768","1024","measured","/services","","src/Cleansia.App/libs/cleansia-customer-features/services-catalog/src/lib/lib.routes.ts:5","initial","","","768","false","4","0","0","0",""
"terminal","customer","/plus","400","844","measured","/plus","","src/Cleansia.App/libs/cleansia-customer-features/plus/src/lib/lib.routes.ts:5","initial","","","400","false","3","0","0","0",""
"terminal","customer","/plus","768","1024","measured","/plus","","src/Cleansia.App/libs/cleansia-customer-features/plus/src/lib/lib.routes.ts:5","initial","","","768","false","3","0","0","0",""
"terminal","customer","/login","400","844","measured","/login","","src/Cleansia.App/libs/cleansia-customer-features/login/src/lib/lib.routes.ts:5","initial","","","400","false","4","0","0","0","screenshots/customer-_login-400-initial.png"
"terminal","customer","/login","768","1024","measured","/login","","src/Cleansia.App/libs/cleansia-customer-features/login/src/lib/lib.routes.ts:5","initial","","","768","false","4","0","0","0",""
"terminal","customer","/register","400","844","measured","/register","","src/Cleansia.App/libs/cleansia-customer-features/register/src/lib/lib.routes.ts:5","initial","","","400","false","8","0","0","0",""
"terminal","customer","/register","768","1024","measured","/register","","src/Cleansia.App/libs/cleansia-customer-features/register/src/lib/lib.routes.ts:5","initial","","","768","false","8","0","0","0",""
"terminal","customer","/r/:code","400","844","measured","/r/audit-id","","src/Cleansia.App/libs/cleansia-customer-features/register/src/lib/lib.routes.ts:15","initial","","","400","false","8","0","0","0",""
"terminal","customer","/r/:code","768","1024","measured","/r/audit-id","","src/Cleansia.App/libs/cleansia-customer-features/register/src/lib/lib.routes.ts:15","initial","","","768","false","8","0","0","0",""
"terminal","customer","/confirm-email","400","844","measured","/confirm-email","","src/Cleansia.App/libs/cleansia-customer-features/confirm-email/src/lib/lib.routes.ts:5","initial","","","400","false","9","0","0","0",""
"terminal","customer","/confirm-email","768","1024","measured","/confirm-email","","src/Cleansia.App/libs/cleansia-customer-features/confirm-email/src/lib/lib.routes.ts:5","initial","","","768","false","9","0","0","0",""
"terminal","customer","/forgot-password","400","844","measured","/forgot-password","","src/Cleansia.App/libs/cleansia-customer-features/forgot-password/src/lib/lib.routes.ts:5","initial","","","400","false","2","0","0","0",""
"terminal","customer","/forgot-password","768","1024","measured","/forgot-password","","src/Cleansia.App/libs/cleansia-customer-features/forgot-password/src/lib/lib.routes.ts:5","initial","","","768","false","2","0","0","0",""
"terminal","customer","/track-order","400","844","measured","/track-order","","src/Cleansia.App/apps/cleansia.app/src/app/app.routes.ts:72","initial","","","400","false","4","0","0","0",""
"terminal","customer","/track-order","768","1024","measured","/track-order","","src/Cleansia.App/apps/cleansia.app/src/app/app.routes.ts:72","initial","","","768","false","4","0","0","0",""
"terminal","customer","/order","400","844","measured","/order","","src/Cleansia.App/libs/cleansia-customer-features/order-wizard/src/lib/lib.routes.ts:5","initial","","","400","false","3","0","0","0",""
"terminal","customer","/order","768","1024","measured","/order","","src/Cleansia.App/libs/cleansia-customer-features/order-wizard/src/lib/lib.routes.ts:5","initial","","","768","false","7","0","0","0",""
"terminal","customer","/orders","400","844","measured","/orders","","src/Cleansia.App/libs/cleansia-customer-features/orders/src/lib/lib.routes.ts:6","initial","","","400","false","6","0","0","0",""
"terminal","customer","/orders","768","1024","measured","/orders","","src/Cleansia.App/libs/cleansia-customer-features/orders/src/lib/lib.routes.ts:6","initial","","","768","false","6","0","0","0",""
"terminal","customer","/orders/:orderId","400","844","measured","/orders/audit-id","","src/Cleansia.App/libs/cleansia-customer-features/orders/src/lib/lib.routes.ts:11","initial","","","400","false","3","0","0","0",""
"terminal","customer","/orders/:orderId","768","1024","measured","/orders/audit-id","","src/Cleansia.App/libs/cleansia-customer-features/orders/src/lib/lib.routes.ts:11","initial","","","768","false","3","0","0","0",""
"terminal","customer","/profile","400","844","measured","/profile","","src/Cleansia.App/libs/cleansia-customer-features/profile/src/lib/lib.routes.ts:8","initial","","","400","false","29","0","0","0",""
"terminal","customer","/profile","768","1024","measured","/profile","","src/Cleansia.App/libs/cleansia-customer-features/profile/src/lib/lib.routes.ts:8","initial","","","768","false","29","0","0","0",""
"terminal","customer","/saved-addresses","400","844","measured","/saved-addresses","","src/Cleansia.App/libs/cleansia-customer-features/profile/src/lib/lib.routes.ts:16","initial","","","400","false","2","0","0","0",""
"terminal","customer","/saved-addresses","768","1024","measured","/saved-addresses","","src/Cleansia.App/libs/cleansia-customer-features/profile/src/lib/lib.routes.ts:16","initial","","","768","false","2","0","0","0",""
"terminal","customer","/disputes","400","844","measured","/disputes","","src/Cleansia.App/libs/cleansia-customer-features/disputes/src/lib/lib.routes.ts:5","initial","","","400","false","3","0","0","0",""
"terminal","customer","/disputes","768","1024","measured","/disputes","","src/Cleansia.App/libs/cleansia-customer-features/disputes/src/lib/lib.routes.ts:5","initial","","","768","false","3","0","0","0",""
"terminal","customer","/rewards","400","844","measured","/rewards","","src/Cleansia.App/libs/cleansia-customer-features/rewards/src/lib/lib.routes.ts:6","initial","","","400","false","2","0","0","0",""
"terminal","customer","/rewards","768","1024","measured","/rewards","","src/Cleansia.App/libs/cleansia-customer-features/rewards/src/lib/lib.routes.ts:6","initial","","","768","false","2","0","0","0",""
"terminal","customer","/rewards/activity","400","844","measured","/rewards/activity","","src/Cleansia.App/libs/cleansia-customer-features/rewards/src/lib/lib.routes.ts:11","initial","","","400","false","3","0","0","0",""
"terminal","customer","/rewards/activity","768","1024","measured","/rewards/activity","","src/Cleansia.App/libs/cleansia-customer-features/rewards/src/lib/lib.routes.ts:11","initial","","","768","false","3","0","0","0",""
"terminal","customer","/membership/welcome","400","844","measured","/membership/welcome","","src/Cleansia.App/libs/cleansia-customer-features/profile/src/lib/lib.routes.ts:52","initial","","","400","false","1","0","0","0",""
"terminal","customer","/membership/welcome","768","1024","measured","/membership/welcome","","src/Cleansia.App/libs/cleansia-customer-features/profile/src/lib/lib.routes.ts:52","initial","","","768","false","1","0","0","0",""
"terminal","customer","/membership/recurring","400","844","measured","/membership/recurring","","src/Cleansia.App/libs/cleansia-customer-features/recurring-bookings/src/lib/lib.routes.ts:20","initial","","","400","false","0","0","0","0",""
"terminal","customer","/membership/recurring","768","1024","measured","/membership/recurring","","src/Cleansia.App/libs/cleansia-customer-features/recurring-bookings/src/lib/lib.routes.ts:20","initial","","","768","false","0","0","0","0",""
"terminal","customer","/membership/recurring/create","400","844","measured","/membership/recurring/create","","src/Cleansia.App/libs/cleansia-customer-features/recurring-bookings/src/lib/lib.routes.ts:25","initial","","","400","false","28","0","0","0",""
"terminal","customer","/membership/recurring/create","768","1024","measured","/membership/recurring/create","","src/Cleansia.App/libs/cleansia-customer-features/recurring-bookings/src/lib/lib.routes.ts:25","initial","","","768","false","28","0","0","0",""
"terminal","customer","/membership/recurring/:id","400","844","measured","/membership/recurring/audit-id","","src/Cleansia.App/libs/cleansia-customer-features/recurring-bookings/src/lib/lib.routes.ts:32","initial","","","400","false","30","0","0","0",""
"terminal","customer","/membership/recurring/:id","768","1024","measured","/membership/recurring/audit-id","","src/Cleansia.App/libs/cleansia-customer-features/recurring-bookings/src/lib/lib.routes.ts:32","initial","","","768","false","30","0","0","0",""
"terminal","customer","/checkout/success","400","844","measured","/checkout/success","","src/Cleansia.App/libs/cleansia-customer-features/checkout/src/lib/lib.routes.ts:14","initial","","","400","false","0","0","0","0",""
"terminal","customer","/checkout/success","768","1024","measured","/checkout/success","","src/Cleansia.App/libs/cleansia-customer-features/checkout/src/lib/lib.routes.ts:14","initial","","","768","false","0","0","0","0",""
"terminal","customer","/checkout/cancel","400","844","measured","/checkout/cancel","","src/Cleansia.App/libs/cleansia-customer-features/checkout/src/lib/lib.routes.ts:19","initial","","","400","false","0","0","0","0",""
"terminal","customer","/checkout/cancel","768","1024","measured","/checkout/cancel","","src/Cleansia.App/libs/cleansia-customer-features/checkout/src/lib/lib.routes.ts:19","initial","","","768","false","0","0","0","0",""
"terminal","customer","/gdpr","400","844","measured","/gdpr","","src/Cleansia.App/libs/cleansia-customer-features/gdpr/src/lib/lib.routes.ts:5","initial","","","400","false","0","0","0","0",""
"terminal","customer","/gdpr","768","1024","measured","/gdpr","","src/Cleansia.App/libs/cleansia-customer-features/gdpr/src/lib/lib.routes.ts:5","initial","","","768","false","0","0","0","0",""
"terminal","customer","/terms","400","844","measured","/terms","","src/Cleansia.App/libs/cleansia-customer-features/legal-pages/src/lib/lib.routes.ts:6","initial","","","400","false","0","0","0","0",""
"terminal","customer","/terms","768","1024","measured","/terms","","src/Cleansia.App/libs/cleansia-customer-features/legal-pages/src/lib/lib.routes.ts:6","initial","","","768","false","0","0","0","0",""
"terminal","customer","/privacy","400","844","measured","/privacy","","src/Cleansia.App/libs/cleansia-customer-features/legal-pages/src/lib/lib.routes.ts:14","initial","","","400","false","0","0","0","0",""
"terminal","customer","/privacy","768","1024","measured","/privacy","","src/Cleansia.App/libs/cleansia-customer-features/legal-pages/src/lib/lib.routes.ts:14","initial","","","768","false","0","0","0","0",""
"terminal","customer","/not-found","400","844","measured","/not-found","","src/Cleansia.App/apps/cleansia.app/src/app/app.routes.ts:179","initial","","","400","false","1","0","0","0",""
"terminal","customer","/not-found","768","1024","measured","/not-found","","src/Cleansia.App/apps/cleansia.app/src/app/app.routes.ts:179","initial","","","768","false","1","0","0","0",""
"terminal","partner","/login","400","844","measured","/login","","src/Cleansia.App/libs/cleansia-partner-features/login/src/lib/lib.routes.ts:5","initial","","","400","false","4","0","0","0",""
"terminal","partner","/login","768","1024","measured","/login","","src/Cleansia.App/libs/cleansia-partner-features/login/src/lib/lib.routes.ts:5","initial","","","768","false","4","0","0","0",""
"terminal","partner","/register","400","844","measured","/register","","src/Cleansia.App/libs/cleansia-partner-features/register/src/lib/lib.routes.ts:5","initial","","","400","false","8","0","0","0",""
"terminal","partner","/register","768","1024","measured","/register","","src/Cleansia.App/libs/cleansia-partner-features/register/src/lib/lib.routes.ts:5","initial","","","768","false","8","0","0","0",""
"terminal","partner","/confirm-email","400","844","measured","/confirm-email","","src/Cleansia.App/libs/cleansia-partner-features/confirm-email/src/lib/lib.routes.ts:5","initial","","","400","false","9","0","0","0",""
"terminal","partner","/confirm-email","768","1024","measured","/confirm-email","","src/Cleansia.App/libs/cleansia-partner-features/confirm-email/src/lib/lib.routes.ts:5","initial","","","768","false","9","0","0","0",""
"terminal","partner","/forgot-password","400","844","measured","/forgot-password","","src/Cleansia.App/libs/cleansia-partner-features/forgot-password/src/lib/lib.routes.ts:5","initial","","","400","false","2","0","0","0",""
"terminal","partner","/forgot-password","768","1024","measured","/forgot-password","","src/Cleansia.App/libs/cleansia-partner-features/forgot-password/src/lib/lib.routes.ts:5","initial","","","768","false","2","0","0","0",""
"terminal","partner","/dashboard","400","844","measured","/dashboard","","src/Cleansia.App/libs/cleansia-partner-features/dashboard/src/lib/dashboard.routes.ts:4","initial","","","400","false","2","0","0","0",""
"terminal","partner","/dashboard","768","1024","measured","/dashboard","","src/Cleansia.App/libs/cleansia-partner-features/dashboard/src/lib/dashboard.routes.ts:4","initial","R01","","768","false","5","0","0","0",""
"terminal","partner","/profile","400","844","measured","/profile","","src/Cleansia.App/libs/cleansia-partner-features/profile/src/lib/lib.routes.ts:5","initial","","","400","false","28","0","0","0",""
"terminal","partner","/profile","768","1024","measured","/profile","","src/Cleansia.App/libs/cleansia-partner-features/profile/src/lib/lib.routes.ts:5","initial","R01","","768","false","29","0","0","0",""
"terminal","partner","/orders","400","844","measured","/orders","","src/Cleansia.App/libs/cleansia-partner-features/orders/src/lib/lib.routes.ts:6","initial","","","400","false","12","0","0","0",""
"terminal","partner","/orders","768","1024","measured","/orders","","src/Cleansia.App/libs/cleansia-partner-features/orders/src/lib/lib.routes.ts:6","initial","R01","","768","false","11","0","0","0",""
"terminal","partner","/orders/:orderId","400","844","measured","/orders/audit-id","","src/Cleansia.App/libs/cleansia-partner-features/orders/src/lib/lib.routes.ts:11","initial","","","400","false","21","0","0","0",""
"terminal","partner","/orders/:orderId","768","1024","measured","/orders/audit-id","","src/Cleansia.App/libs/cleansia-partner-features/orders/src/lib/lib.routes.ts:11","initial","R01","","768","false","20","0","0","0",""
"terminal","partner","/invoices","400","844","measured","/invoices","","src/Cleansia.App/libs/cleansia-partner-features/invoices/src/lib/lib.routes.ts:7","initial","","","400","false","7","0","0","0",""
"terminal","partner","/invoices","768","1024","measured","/invoices","","src/Cleansia.App/libs/cleansia-partner-features/invoices/src/lib/lib.routes.ts:7","initial","R01","","768","false","6","0","0","0",""
"terminal","partner","/invoices/:invoiceId","400","844","measured","/invoices/audit-id","","src/Cleansia.App/libs/cleansia-partner-features/invoices/src/lib/lib.routes.ts:12","initial","","","400","false","7","0","0","0",""
"terminal","partner","/invoices/:invoiceId","768","1024","measured","/invoices/audit-id","","src/Cleansia.App/libs/cleansia-partner-features/invoices/src/lib/lib.routes.ts:12","initial","R01","","768","false","6","0","0","0",""
